date,location_key,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,death_rate,recover_rate
2022-05-01,AR_C_005,33429,315,,156116,0.00942295611594723,
2022-04-30,AR_C_006,33406,319,,168997,0.00954918278153625,
2022-04-30,AR_C_007,37709,454,,169851,0.012039566151316662,
2022-04-30,AR_C_008,30753,312,,124746,0.010145351673007511,
2022-04-30,AR_C_009,25096,302,,108619,0.012033790245457443,
2022-04-30,AR_C_010,27039,330,,123150,0.012204593365139243,
2022-04-30,AR_C_011,27496,281,,136530,0.010219668315391329,
2022-04-30,AR_C_012,32801,323,,176877,0.009847260754245298,
2022-04-30,AR_C_013,44937,410,,269190,0.009123884549480384,
2022-04-30,AR_C_014,42224,352,,241025,0.008336491095111784,
2022-04-30,AR_C_015,33137,305,,160163,0.009204212813471346,
2022-04-30,AR_D,134564,1601,,362056,0.01189768437323504,
2022-04-29,AR_D_007,3947,63,,13195,0.015961489739042312,
2022-04-19,AR_D_014,1051,21,,3294,0.019980970504281638,
2022-04-29,AR_D_021,3761,56,,11018,0.014889657006115395,
2022-04-28,AR_D_028,4622,77,,13888,0.016659454781479878,
2022-04-30,AR_D_035,40310,527,,102560,0.013073678987844208,
2022-04-29,AR_D_042,2918,58,,7936,0.019876627827278958,
2022-04-28,AR_D_049,8282,111,,20947,0.013402559768171939,
2022-04-30,AR_D_056,68875,677,,186540,0.00982940108892922,
2022-04-21,AR_D_063,764,8,,2584,0.010471204188481676,
2022-04-30,AR_E,200039,2811,,352234,0.01405225980933718,
2022-04-30,AR_E_008,13394,98,,20568,0.007316708974167537,
2022-04-30,AR_E_015,24692,339,,48853,0.0137291430422809,
2022-04-30,AR_E_021,7141,96,,13393,0.013443495308780282,
2022-04-30,AR_E_028,9470,119,,15275,0.012565997888067582,
2022-04-30,AR_E_035,2556,54,,4767,0.02112676056338028,
2022-04-27,AR_E_042,1330,27,,2503,0.02030075187969925,
2022-04-28,AR_E_049,6979,140,,14369,0.020060180541624874,
2022-04-30,AR_E_056,26968,341,,41792,0.012644615840996737,
2022-04-24,AR_E_063,2174,24,,4610,0.011039558417663294,
2022-04-29,AR_E_070,7532,119,,12827,0.015799256505576207,
2022-04-30,AR_E_077,4141,81,,7871,0.019560492634629317,
2022-04-30,AR_E_084,62145,891,,108817,0.014337436640115858,
2022-04-29,AR_E_088,2713,22,,3696,0.008109104312569112,
2022-04-28,AR_E_091,4098,44,,6875,0.010736944851146901,
2022-04-30,AR_E_098,14615,196,,25488,0.013410879233664044,
2022-04-28,AR_E_105,4811,102,,10428,0.02120141342756184,
2022-04-29,AR_E_113,5210,116,,9711,0.022264875239923224,
2022-04-29,AR_F,56592,1042,,174477,0.018412496465931582,
2022-04-26,AR_F_007,3063,50,,8314,0.01632386549134835,
2022-04-29,AR_F_014,31132,558,,100096,0.01792367981498137,
2022-04-26,AR_F_021,793,11,,2275,0.013871374527112233,
2022-04-27,AR_F_028,1649,30,,4973,0.018192844147968467,
2022-04-26,AR_F_035,2568,57,,7060,0.02219626168224299,
2022-04-29,AR_F_042,7323,187,,21022,0.0255359825208248,
2022-04-26,AR_F_049,1186,13,,3503,0.010961214165261383,
2022-04-25,AR_F_056,533,12,,1814,0.0225140712945591,
2022-04-28,AR_F_063,1207,23,,3956,0.019055509527754765,
2022-04-18,AR_F_070,570,9,,1762,0.015789473684210527,
2022-04-04,AR_F_077,300,3,,1124,0.01,
2022-04-26,AR_F_084,1184,21,,3607,0.017736486486486486,
2022-04-21,AR_F_091,555,7,,1968,0.012612612612612612,
2022-04-26,AR_F_098,519,3,,1615,0.005780346820809248,
2022-04-24,AR_F_105,376,9,,1219,0.023936170212765957,
2022-04-29,AR_F_112,2262,30,,6214,0.013262599469496022,
2022-04-26,AR_F_119,803,1,,2055,0.0012453300124533001,
2022-04-29,AR_F_126,525,15,,1737,0.02857142857142857,
2022-04-30,AR_G,124044,1343,,345891,0.010826803392344653,
2022-04-29,AR_G_007,898,15,,1826,0.01670378619153675,
2022-04-29,AR_G_014,950,26,,2894,0.02736842105263158,
2022-04-28,AR_G_021,978,14,,3101,0.014314928425357873,
2022-04-28,AR_G_028,1406,26,,5156,0.01849217638691323,
2022-04-29,AR_G_035,22433,242,,56621,0.010787678865956404,
2022-04-20,AR_G_042,857,12,,2457,0.014002333722287048,
2022-04-30,AR_G_049,64883,506,,167239,0.0077986529599432825,
2022-04-29,AR_G_056,1578,41,,5426,0.025982256020278833,
2022-04-29,AR_G_063,4038,45,,11297,0.011144130757800892,
2022-04-29,AR_G_070,1036,17,,3450,0.016409266409266408,
2022-04-28,AR_G_077,2706,33,,8679,0.012195121951219513,
2022-04-29,AR_G_084,646,6,,2052,0.009287925696594427,
2022-04-24,AR_G_091,952,20,,3330,0.02100840336134454,
2022-04-25,AR_G_098,1298,21,,3887,0.016178736517719568,
2022-04-29,AR_G_105,1545,28,,5611,0.018122977346278317,
2022-03-17,AR_G_112,91,0,,186,0.0,
2022-04-28,AR_G_119,1932,26,,5788,0.013457556935817806,
2022-04-27,AR_G_126,1138,8,,6124,0.007029876977152899,
2022-04-26,AR_G_133,1404,18,,4901,0.01282051282051282,
2022-04-28,AR_G_140,900,5,,3459,0.005555555555555556,
2022-04-30,AR_G_147,5349,86,,18679,0.01607777154608338,
2022-04-28,AR_G_154,540,4,,1242,0.007407407407407408,
2022-04-29,AR_G_161,4001,93,,13677,0.02324418895276181,
2022-04-28,AR_G_168,599,7,,2442,0.011686143572621035,
2022-04-29,AR_G_175,813,16,,2739,0.01968019680196802,
2022-04-28,AR_G_182,371,12,,1029,0.03234501347708895,
2022-04-22,AR_G_189,587,16,,2229,0.027257240204429302,
2022-04-30,AR_H,167256,2648,,611262,0.015832017984407136,
2022-04-30,AR_H_007,2554,45,,8642,0.017619420516836334,
2022-04-30,AR_H_014,3501,47,,18191,0.01342473578977435,
2022-04-30,AR_H_021,14107,216,,53513,0.015311547458708443,
2022-04-30,AR_H_028,3051,80,,7998,0.02622091117666339,
2022-04-29,AR_H_036,2438,54,,7427,0.022149302707136997,
2022-04-29,AR_H_039,1262,24,,3334,0.01901743264659271,
2022-04-30,AR_H_043,1120,31,,3237,0.027678571428571427,
2022-04-26,AR_H_049,828,26,,2377,0.03140096618357488,
2022-04-29,AR_H_056,2027,26,,6833,0.012826837691169216,
2022-04-29,AR_H_063,6438,53,,22301,0.008232370301335818,
2022-04-30,AR_H_070,1498,36,,5475,0.02403204272363151,
2022-04-30,AR_H_077,2448,30,,8940,0.012254901960784314,
2022-04-29,AR_H_084,4598,100,,17758,0.02174858634188778,
2022-04-30,AR_H_091,2428,36,,7725,0.014827018121911038,
2022-04-29,AR_H_098,8113,165,,24724,0.020337729569826206,
2022-04-29,AR_H_105,3565,54,,8933,0.01514726507713885,
2022-04-30,AR_H_112,2380,40,,7015,0.01680672268907563,
2022-04-29,AR_H_119,1087,22,,2516,0.020239190432382703,
2022-04-28,AR_H_126,1921,35,,7688,0.018219677251431546,
2022-04-30,AR_H_133,3135,56,,11590,0.017862838915470493,
2022-04-30,AR_H_140,93309,1365,,354468,0.014628813940777417,
2022-04-26,AR_H_147,950,25,,4119,0.02631578947368421,
